[0m[ INFO] [1597300302.118191657]: Port : /dev/ttyUSB0, baudrate : 115200[0m
[0m[ INFO] [1597300302.129197580]: Serial port close[0m
[0m[ INFO] [1597300302.132601824]: Port : /dev/ttyUSB0, baudrate : 115200[0m
[0m[ INFO] [1597300302.143012457]: Serial port close[0m
[0m[ INFO] [1597300302.643318676]: portopen!![0m
total: f_roll_accel, f_pitch_accel, f_yaw_accel, f_roll_rate, f_pitch_rate, f_yaw_rate, f_roll, f_pitch, f_yaw
0.0107, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0122, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0093, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0103, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0073, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0073, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0259, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0234, 1.0034, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0103, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0249, 1.0034, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0122, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0078, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0259, 1.0020, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0249, 1.0029, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0029, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0122, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0107, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0093, -0.0244, 1.0034, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0122, -0.0229, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0122, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0117, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0117, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0244, 1.0034, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0103, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0244, 1.0020, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0249, 1.0020, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0103, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0103, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3683, 138.7299,
0.0103, -0.0234, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0122, -0.0244, 1.0034, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0093, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0103, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.6047, 359.3738, 138.7299,
0.0117, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0029, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0078, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0029, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0020, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0234, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0132, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0244, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0029, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0234, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0259, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0259, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0093, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0259, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3683, 138.7299,
0.0117, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3683, 138.7299,
0.0093, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0234, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0234, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0073, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0234, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0234, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0244, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0259, 1.0078, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0034, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0103, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0044, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0259, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0249, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0259, 1.0059, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0122, -0.0249, 1.0063, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0117, -0.0234, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0049, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
0.0107, -0.0244, 1.0029, 0.0000, 0.0000, 0.0000, 358.5992, 359.3738, 138.7299,
